,site,year,month,day,elev_ATM,dist,slope_S2N,slope_W2E,lat,lon
1,Swiss Camp,2014.0,4.0,19.0,1158.1909,0.34620158294867504,0.0033768,0.0074848,69.553567,-49.371458000000075
2,Crawford Point 1,2014.0,4.0,10.0,1988.7052,1.9752267121768436,0.0063489,0.0061602,69.889955,-47.048126000000025
3,CP2,2014.0,4.0,10.0,1968.2974,0.9807695482739077,0.0086138,0.0220406,69.921175,-46.86630500000001
4,JAR1,2014.0,4.0,9.0,936.2486,0.43632326911008446,0.0191663,0.0050488,69.49317,-49.70299799999998
5,JAR2,2014.0,4.0,19.0,521.2953,0.027323229132110313,0.0142639,0.0088439,69.420219,-50.057818
6,JAR3,2014.0,4.0,19.0,267.3115,0.057960126502747004,0.0213226,-0.0204109,69.394903,-50.31039199999998
7,NASA-U,2014.0,5.0,16.0,1975.2112,65.9837757899228,0.0032469,0.0104876,73.613834,-51.48491899999999
8,GITS,2014.0,5.0,7.0,1896.7507,0.451479439509437,0.0051619,0.0018833,77.137378,-61.02294800000004
9,Humboldt,2014.0,5.0,5.0,1986.7694,0.01321022820784126,-0.0018717,0.0045068,78.52824,-56.84178399999996
10,Summit,2014.0,4.0,10.0,3249.2288,0.014646798237975036,-0.000487,0.0008443,72.579635,-38.50411699999995
11,Tunu-N,2014.0,5.0,8.0,2106.0286,1.298697473509669,-0.0039596,-0.0012441,78.030292,-33.977040999999986
12,DYE-2,2014.0,4.0,5.0,2155.3627,0.20028659865702453,-0.0013057,0.0108247,66.481327,-46.286609999999996
13,Saddle,2014.0,4.0,8.0,2489.2733,9.698387491973905,-0.0020769,0.0048856,66.08717,-44.50042000000008
14,South Dome,2014.0,4.0,8.0,2851.9831,21.506466429574967,-0.0034571,0.0007301,63.182443,-44.39525800000001
15,NASA-E,2014.0,5.0,21.0,2605.443,5.423638571977738,-0.0033283,-0.017069,74.98725,-29.804476000000022
16,NASA-SE,2014.0,4.0,24.0,2390.6994,15.547003063039705,-0.003165,-0.0118091,66.33801,-42.489914
17,NGRIP,2014.0,5.0,2.0,2955.6496,2.3397084601747777,-0.0003825,-0.0004866,75.106873,-42.25545899999997
18,NEEM,2014.0,5.0,14.0,2474.3097,5.332962839678821,-0.0010179,0.0026026,77.489037,-51.122603000000026
19,EastGRIP,2014.0,5.0,15.0,2703.793,0.6072953765958639,0.0008163,-0.0026982,75.630968,-35.96585900000002
20,KAR,2014.0,4.0,21.0,2723.2968,18.687892824247257,0.0061641,0.0025136,69.864982,-33.08564000000001
21,KULU,2014.0,4.0,8.0,602.9844,9.327395585699032,0.0214093,-0.039726,65.690153,-39.72031100000004
22,Aurora,2014.0,4.0,16.0,1727.7051,8.411922180138129,0.0021901,0.0023815,67.144655,-47.485720000000015
23,Petermann Glacier,2014.0,5.0,19.0,46.5776,0.024870882919565865,0.012659,0.0142947,80.68372,-60.29426699999999
24,Petermann ELA,2014.0,5.0,5.0,964.2564,0.5623963643513731,-0.0018538,0.0071896,80.095086,-58.16599700000006
