date,lat,lon,elev_ATM_m,distance_km,slope_S2N_deg,slope_W2E_deg
1995-05-24,69.5559,-49.3652,1172.9,0.039,0.0004,0.0017
1995-05-24,69.5592,-49.3651,1172.1,0.399,-0.0056,-0.0053
1997-05-13,69.5368,-49.3659,1146.4,2.093,0.0295,-0.0176
1997-05-15,69.5552,-49.4378,1128.88,2.838,0.0065,0.001
1997-05-15,69.5686,-49.299,1181.05,2.931,-0.002,0.0206
1997-05-17,69.5584,-49.3693,1172.98,0.354,-0.0032,0.0019
1997-05-17,69.5558,-49.3149,1162.04,1.932,-0.0036,0.0199
1997-05-17,69.5564,-49.3666,1172.86,0.113,0.0012,-0.0
1998-06-27,69.5574,-49.4396,1129.06,2.913,-0.0026,0.0027
1998-06-27,69.5702,-49.3035,1175.66,2.876,-0.004,0.0196
1998-07-14,69.5559,-49.3652,1171.93,0.039,0.003,-0.0003
1999-05-21,69.5553,-49.4387,1128.75,2.874,0.011,-0.0004
1999-05-21,69.5605,-49.369,1170.72,0.568,-0.0065,-0.0024
2001-05-27,69.5453,-49.2839,1151.83,3.34,0.0026,0.0037
2001-05-27,69.5398,-49.3837,1151.14,1.905,0.0173,0.0264
2001-05-27,69.523,-49.3078,1134.78,4.239,0.0163,-0.0086
2002-05-31,69.5568,-49.4355,1129.08,2.75,-0.003,0.0027
2003-05-11,69.5581,-49.3826,1164.04,2.293,0.0087,0.0217
2003-05-11,69.5791,-49.3667,1154.51,2.137,0.0039,0.0062
2003-05-11,69.5977,-49.3356,1175.39,3.587,0.0084,0.0076
2005-05-14,69.5579,-49.4351,1126.48,2.743,-0.003,0.0063
2006-05-27,69.5567,-49.4334,1126.39,2.668,0.0014,0.0064
2006-05-27,69.5865,-49.4278,1136.94,4.217,0.0194,0.0168
2008-06-30,69.5299,-49.3582,1126.87,2.868,0.0172,-0.0043
2008-06-30,69.5307,-49.3182,1144.07,3.301,0.0053,0.0088
2008-07-10,69.5647,-49.228,1188.1,4.346,-0.0161,0.0016
2008-07-10,69.5576,-49.4678,1116.94,4.993,0.0176,0.0192
2010-05-14,69.5556,-49.4366,1122.6,2.791,0.0037,0.0025
2010-05-17,69.5557,-49.3648,1165.46,0.016,0.0054,-0.0017
2010-05-17,69.576,-49.2877,1181.3,3.753,-0.0002,0.0215
2011-04-06,69.5627,-49.435,1118.18,3.444,0.0073,-0.0012
2011-04-07,69.5841,-49.3054,1169.48,3.064,0.0051,0.0253
2012-04-21,69.5619,-49.2752,1180.16,3.543,0.0172,0.002
2012-04-21,69.5558,-49.4396,1118.76,2.906,-0.0006,0.0022
2012-04-21,69.5311,-49.4416,1088.87,4.037,-0.0221,-0.0092
2012-05-02,69.5605,-49.3488,1152.2,0.041,0.028,-0.0135
2013-04-04,69.5607,-49.4387,1115.82,3.406,-0.0145,-0.0059
2013-04-06,69.5369,-49.302,1140.18,3.147,-0.0015,0.0112
2013-04-06,69.5625,-49.2865,1174.79,2.544,0.0099,0.0157
2013-04-10,69.5591,-49.3521,1152.41,0.007,-0.0145,-0.0313
2014-04-09,69.5573,-49.4379,1116.47,3.239,-0.0005,0.0041
2014-04-10,69.5715,-49.3725,1144.52,1.599,-0.0036,0.0
2014-04-14,69.5547,-49.3559,1154.98,0.354,-0.0051,-0.0167
2014-04-14,69.5631,-49.278,1178.78,3.464,0.0145,0.0094
2014-04-19,69.5536,-49.3715,1158.19,0.346,0.0034,0.0075
2014-04-19,69.5586,-49.3556,1154.97,0.488,-0.0227,-0.0196
2015-04-09,69.573,-49.3731,1143.58,1.793,-0.0032,-0.0003
2015-04-09,69.559,-49.4811,1102.45,4.817,0.0287,0.0263
2015-04-21,69.557,-49.4382,1115.77,2.856,-0.0061,0.0011
2015-04-23,69.5632,-49.2765,1179.17,3.526,0.0114,0.008
2015-04-25,69.5564,-49.3666,1157.9,0.113,0.0131,0.0023
2016-05-16,69.5314,-49.4423,1085.85,4.038,-0.0177,-0.0072
2016-05-16,69.5567,-49.4388,1114.81,2.878,-0.0081,-0.0044
2016-09-06,69.5582,-49.3694,1155.07,0.412,-0.0117,-0.0024
2016-09-13,69.5708,-49.3844,1138.18,1.854,-0.0009,0.0141
2017-04-29,69.5721,-49.4356,1119.76,3.309,0.0093,0.0049
2017-04-29,69.5568,-49.4371,1113.02,2.813,-0.0028,0.0027
2017-05-01,69.53,-49.2577,1178.29,4.993,0.0147,0.0193
2017-05-01,69.5565,-49.3573,1154.05,0.133,-0.0008,-0.0159
2017-05-01,69.5645,-49.2787,1178.22,3.277,0.0077,0.0108
2017-05-01,69.5655,-49.3482,1137.39,1.055,-0.0148,-0.0141
2017-05-06,69.5766,-49.3379,1144.24,2.383,0.0271,0.0077
2017-05-06,69.5715,-49.3792,1141.1,1.77,0.0001,0.0097
2019-05-06,69.555,-49.4392,1112.76,2.826,0.0032,0.0023
2019-05-06,69.5491,-49.4381,1106.37,2.873,0.0197,-0.0
2019-05-07,69.5531,-49.2442,1157.97,4.759,0.029,0.0131
2019-05-07,69.5496,-49.271,1141.38,3.767,0.0187,-0.0003
2019-05-07,69.5468,-49.2451,1149.18,4.815,-0.0098,0.0284
2019-05-07,69.5696,-49.2823,1177.31,3.631,0.0014,0.0139
2019-05-12,69.5712,-49.3828,1138.49,1.877,-0.0056,0.0078
2019-05-12,69.5747,-49.3527,1138.93,2.242,0.0081,-0.0028
2019-05-15,69.5478,-49.3915,1142.74,1.351,-0.0043,0.021
2019-05-15,69.5557,-49.3651,1155.22,0.016,-0.0049,-0.0023
