jdy,elev
1997.3917808219178,1973.6612004577637
1999.3671232876711,1940.0649004577638
2007.3506849315067,1940.3924004577636
2010.227397260274,1934.1757004577637
2012.3387978142077,1973.7338004577637
2014.3424657534247,1959.4144004577636
2015.3424657534247,1959.4385004577637
2017.2849315068493,1958.9082004577638
2018.2602739726028,1959.5620004577636
2019.2931506849316,1959.6211004577638
2021.041095890411,
2021.1260273972603,
2021.2027397260274,
2021.2876712328766,
2021.3698630136987,
2021.454794520548,
2021.5369863013698,
2021.6219178082192,
2021.7068493150684,
2021.7890410958903,
2021.8739726027397,
2021.9561643835616,
2022.041095890411,
2022.1260273972603,
2022.2027397260274,
2022.2876712328766,
2022.3698630136987,
2022.454794520548,
2022.5369863013698,1967.45
2022.6219178082192,1966.45
2022.7068493150684,1966.55
2022.7890410958903,1967.61
2022.8739726027397,1967.79
2022.9561643835616,1967.34
2023.041095890411,1970.6
2023.1260273972603,
2023.2027397260274,
2023.2876712328766,
2023.3698630136987,
2023.454794520548,
2023.5369863013698,1968.92
2023.6219178082192,1968.96
2023.7068493150684,1968.12
2023.7890410958903,1968.48
2023.8739726027397,
2023.9561643835616,
