year,month,lat,lat count,lon,lon count,elev,elev std,elev count
2021,1,75.62602,31.0,-35.971664,31.0,2661.11,3.28,31.0
2021,2,75.62605,28.0,-35.971542,28.0,2660.39,4.12,28.0
2021,3,75.62608,31.0,-35.971464,31.0,2659.71,3.21,31.0
2021,4,75.62612,30.0,-35.971371,30.0,2660.82,3.59,30.0
2021,5,75.62616,31.0,-35.971288,31.0,2661.79,0.96,31.0
2021,6,75.62619,30.0,-35.971210,30.0,2662.62,0.80,30.0
2021,7,75.62623,31.0,-35.971110,31.0,2662.57,0.81,31.0
2021,8,75.62627,31.0,-35.971005,31.0,2661.98,0.82,31.0
2021,9,75.62631,30.0,-35.970899,30.0,2662.60,1.05,30.0
2021,10,75.62634,31.0,-35.970798,31.0,2661.67,2.09,31.0
2021,11,75.62638,30.0,-35.970719,30.0,2661.26,6.33,30.0
2021,12,75.62641,31.0,-35.970621,31.0,2662.05,4.40,31.0
2022,1,75.62645,31.0,-35.970489,31.0,2660.87,4.70,31.0
2022,2,75.62649,28.0,-35.970413,28.0,2662.61,8.82,28.0
2022,3,75.62652,31.0,-35.970296,31.0,2667.32,6.51,31.0
2022,4,75.62655,30.0,-35.970201,30.0,2664.56,2.32,30.0
2022,5,75.62659,31.0,-35.970128,31.0,2665.98,1.49,31.0
2022,6,75.62663,30.0,-35.970055,30.0,2668.62,1.23,30.0
2022,7,75.62666,31.0,-35.969941,31.0,2667.70,1.29,31.0
2022,8,75.62670,31.0,-35.969836,31.0,2665.94,1.40,31.0
2022,9,75.62673,30.0,-35.969742,30.0,2665.83,1.33,30.0
2022,10,75.62676,31.0,-35.969654,31.0,2666.62,4.31,31.0
2022,11,75.62680,30.0,-35.969564,30.0,2670.14,7.19,30.0
2022,12,75.62684,31.0,-35.969475,31.0,2667.04,5.66,31.0
2023,1,75.62688,31.0,-35.969337,31.0,2666.12,7.47,31.0
2023,2,75.62691,28.0,-35.969241,28.0,2667.65,6.29,28.0
2023,3,75.62695,31.0,-35.969144,31.0,2666.66,12.97,31.0
2023,4,75.62699,30.0,-35.969091,30.0,2669.18,4.25,30.0
2023,5,75.62702,31.0,-35.968997,31.0,2668.70,1.60,31.0
2023,6,75.62709,30.0,-35.969052,30.0,2668.85,2.66,30.0
2023,7,75.62722,31.0,-35.969333,31.0,2669.15,2.59,31.0
2023,8,75.62726,31.0,-35.969232,31.0,2669.48,2.58,31.0
2023,9,75.62729,30.0,-35.969120,30.0,2666.83,3.65,30.0
2023,10,75.62732,31.0,-35.969025,31.0,2666.95,3.20,31.0
2023,11,nan,0.0,nan,0.0,0.00,0.00,0.0
2023,12,nan,0.0,nan,0.0,0.00,0.00,0.0
