year,month,lat,lat count,lon,lon count,elev,elev std,elev count
2021,1,nan,0.0,nan,0.0,0.00,0.00,0.0
2021,2,nan,0.0,nan,0.0,0.00,0.00,0.0
2021,3,nan,0.0,nan,0.0,0.00,0.00,0.0
2021,4,nan,0.0,nan,0.0,0.00,0.00,0.0
2021,5,nan,0.0,nan,0.0,0.00,0.00,0.0
2021,6,nan,12.0,nan,12.0,0.00,0.00,12.0
2021,7,66.47777,31.0,-42.493641,31.0,2385.94,0.45,31.0
2021,8,66.47777,31.0,-42.493614,31.0,2385.38,0.52,31.0
2021,9,66.47776,30.0,-42.493592,30.0,2385.07,0.47,30.0
2021,10,66.47775,31.0,-42.493568,31.0,2384.65,0.35,31.0
2021,11,66.47774,30.0,-42.493543,30.0,2384.00,0.39,30.0
2021,12,66.47774,31.0,-42.493513,31.0,2383.50,0.33,31.0
2022,1,66.47773,31.0,-42.493488,31.0,2383.70,0.65,31.0
2022,2,66.47772,28.0,-42.493465,28.0,2384.06,0.47,28.0
2022,3,66.47771,31.0,-42.493441,31.0,2384.89,0.58,31.0
2022,4,66.47770,30.0,-42.493420,30.0,2385.52,0.73,30.0
2022,5,66.47769,31.0,-42.493397,31.0,2386.25,0.70,31.0
2022,6,66.47769,30.0,-42.493379,30.0,2385.80,0.47,30.0
2022,7,66.47768,31.0,-42.493366,31.0,2386.17,0.48,31.0
2022,8,66.47767,31.0,-42.493338,31.0,2385.70,0.51,31.0
2022,9,66.47766,30.0,-42.493312,30.0,2385.45,0.57,30.0
2022,10,66.47766,31.0,-42.493284,31.0,2385.16,0.44,31.0
2022,11,66.47765,30.0,-42.493260,30.0,2384.19,0.74,30.0
2022,12,66.47764,31.0,-42.493236,31.0,2383.86,0.50,31.0
2023,1,66.47764,31.0,-42.493211,31.0,2384.56,0.64,31.0
2023,2,nan,3.0,nan,3.0,0.00,0.00,3.0
2023,3,nan,0.0,nan,0.0,0.00,0.00,0.0
2023,4,nan,0.0,nan,0.0,0.00,0.00,0.0
2023,5,nan,0.0,nan,0.0,0.00,0.00,0.0
2023,6,66.47759,22.0,-42.493218,22.0,2391.72,1.63,22.0
2023,7,66.47758,31.0,-42.493196,31.0,2390.31,1.50,31.0
2023,8,66.47757,31.0,-42.493173,31.0,2390.50,1.37,31.0
2023,9,66.47756,30.0,-42.493143,30.0,2388.57,1.27,30.0
2023,10,66.47755,31.0,-42.493119,31.0,2388.39,1.26,31.0
2023,11,nan,0.0,nan,0.0,0.00,0.00,0.0
2023,12,nan,0.0,nan,0.0,0.00,0.00,0.0
