year,month,lat,lat count,lon,lon count,elev,elev std,elev count
2021,1,64.16228,31.0,-51.358665,31.0,702.10,3.60,31.0
2021,2,64.16227,28.0,-51.358671,28.0,701.69,2.57,28.0
2021,3,64.16228,31.0,-51.358669,31.0,703.11,2.91,31.0
2021,4,64.16228,30.0,-51.358660,30.0,701.22,3.50,30.0
2021,5,64.16228,31.0,-51.358678,31.0,705.39,2.05,31.0
2021,6,64.16228,30.0,-51.358680,30.0,705.83,1.82,30.0
2021,7,64.16228,31.0,-51.358671,31.0,705.08,0.80,31.0
2021,8,64.16228,31.0,-51.358667,31.0,703.63,1.04,31.0
2021,9,64.16228,30.0,-51.358663,30.0,702.21,1.37,30.0
2021,10,64.16229,30.0,-51.358667,30.0,702.62,1.68,30.0
2021,11,64.16229,30.0,-51.358662,30.0,702.68,3.84,30.0
2021,12,64.16229,31.0,-51.358663,31.0,699.35,4.20,31.0
2022,1,64.16229,31.0,-51.358657,31.0,701.40,3.53,31.0
2022,2,64.16228,28.0,-51.358652,28.0,703.36,3.35,28.0
2022,3,64.16229,31.0,-51.358633,31.0,701.49,5.77,31.0
2022,4,64.16227,30.0,-51.358631,30.0,698.89,14.05,30.0
2022,5,64.16229,31.0,-51.358631,31.0,704.19,3.05,31.0
2022,6,64.16229,30.0,-51.358657,30.0,703.15,9.98,30.0
2022,7,64.16228,31.0,-51.358670,31.0,703.17,1.57,31.0
2022,8,64.16228,31.0,-51.358672,31.0,702.89,1.96,31.0
2022,9,64.16228,30.0,-51.358679,30.0,701.59,1.60,30.0
2022,10,64.16228,30.0,-51.358676,30.0,701.20,1.74,30.0
2022,11,64.16228,30.0,-51.358688,30.0,701.02,3.45,30.0
2022,12,64.16229,31.0,-51.358678,31.0,700.11,2.75,31.0
2023,1,64.16227,31.0,-51.358691,31.0,699.20,3.98,31.0
2023,2,64.16229,28.0,-51.358659,28.0,702.46,7.95,28.0
2023,3,64.16228,31.0,-51.358646,31.0,702.88,4.66,31.0
2023,4,64.16227,30.0,-51.358670,30.0,701.09,2.67,30.0
2023,5,64.16228,31.0,-51.358682,31.0,701.48,2.02,31.0
2023,6,64.16229,30.0,-51.358688,30.0,703.85,1.72,30.0
2023,7,64.16228,31.0,-51.358690,31.0,702.19,1.50,31.0
2023,8,64.16228,31.0,-51.358686,31.0,701.66,2.11,31.0
2023,9,64.16228,30.0,-51.358693,30.0,701.56,1.78,30.0
2023,10,64.16229,31.0,-51.358685,31.0,702.56,1.65,31.0
2023,11,nan,0.0,nan,0.0,0.00,0.00,0.0
2023,12,nan,0.0,nan,0.0,0.00,0.00,0.0
