year,month,lat,lat count,lon,lon count,elev,elev std,elev count
2021,1,61.03058,31.0,-46.849663,31.0,254.15,13.15,31.0
2021,2,61.03057,28.0,-46.849656,28.0,254.85,10.77,28.0
2021,3,61.03057,31.0,-46.849666,31.0,253.32,10.63,31.0
2021,4,61.03055,30.0,-46.849664,30.0,251.85,7.52,30.0
2021,5,61.03056,31.0,-46.849669,31.0,254.64,4.90,31.0
2021,6,61.03055,30.0,-46.849675,30.0,252.98,2.17,30.0
2021,7,61.03054,31.0,-46.849693,31.0,250.41,3.27,31.0
2021,8,61.03054,31.0,-46.849692,31.0,248.90,3.35,31.0
2021,9,61.03051,30.0,-46.849622,30.0,249.13,3.51,30.0
2021,10,61.03051,31.0,-46.849622,31.0,247.48,3.94,31.0
2021,11,61.03052,30.0,-46.849628,30.0,245.04,10.77,30.0
2021,12,61.03050,31.0,-46.849648,31.0,245.73,5.95,31.0
2022,1,61.03051,31.0,-46.849695,31.0,249.25,11.12,31.0
2022,2,61.03050,28.0,-46.849689,28.0,264.62,56.50,28.0
2022,3,61.03048,31.0,-46.849679,31.0,247.26,7.41,31.0
2022,4,61.03049,30.0,-46.849662,30.0,248.10,7.65,30.0
2022,5,61.03049,31.0,-46.849678,31.0,251.39,5.86,31.0
2022,6,61.03048,30.0,-46.849684,30.0,249.30,3.09,30.0
2022,7,61.03048,31.0,-46.849694,31.0,248.09,4.06,31.0
2022,8,61.03047,31.0,-46.849696,31.0,246.55,3.43,31.0
2022,9,61.03049,30.0,-46.849659,30.0,244.71,3.17,30.0
2022,10,61.03048,31.0,-46.849661,31.0,242.33,6.23,31.0
2022,11,61.03050,30.0,-46.849681,30.0,242.33,10.83,30.0
2022,12,61.03049,31.0,-46.849726,31.0,238.39,10.84,31.0
2023,1,61.03047,31.0,-46.849711,31.0,241.84,13.06,31.0
2023,2,61.03046,28.0,-46.849714,28.0,243.77,6.54,28.0
2023,3,61.03050,31.0,-46.849740,31.0,252.56,79.54,31.0
2023,4,61.03047,30.0,-46.849694,30.0,243.03,4.44,30.0
2023,5,61.03047,31.0,-46.849706,31.0,243.73,5.51,31.0
2023,6,61.03046,30.0,-46.849720,30.0,242.74,2.26,30.0
2023,7,61.03045,31.0,-46.849734,31.0,241.95,3.56,31.0
2023,8,61.03045,31.0,-46.849740,31.0,240.58,3.62,31.0
2023,9,61.03044,30.0,-46.849759,30.0,236.50,1.36,30.0
2023,10,61.03044,29.0,-46.849770,29.0,237.62,2.96,29.0
2023,11,nan,0.0,nan,0.0,0.00,0.00,0.0
2023,12,nan,0.0,nan,0.0,0.00,0.00,0.0
