year,month,lat,lat count,lon,lon count,elev,elev std,elev count
2021,1,61.17340,31.0,-46.820952,31.0,890.14,1.66,31.0
2021,2,61.17336,28.0,-46.820996,28.0,890.06,1.50,28.0
2021,3,61.17333,31.0,-46.821031,31.0,889.23,2.42,31.0
2021,4,nan,8.0,nan,8.0,0.00,0.00,8.0
2021,5,nan,0.0,nan,0.0,0.00,0.00,0.0
2021,6,nan,0.0,nan,0.0,0.00,0.00,0.0
2021,7,nan,0.0,nan,0.0,0.00,0.00,0.0
2021,8,nan,0.0,nan,0.0,0.00,0.00,0.0
2021,9,61.17311,30.0,-46.821385,30.0,884.03,0.52,30.0
2021,10,61.17309,31.0,-46.821422,31.0,884.07,0.43,31.0
2021,11,61.17306,30.0,-46.821448,30.0,883.68,0.55,30.0
2021,12,61.17302,31.0,-46.821486,31.0,883.18,0.52,31.0
2022,1,61.17298,31.0,-46.821518,31.0,883.34,0.71,31.0
2022,2,61.17295,28.0,-46.821548,28.0,884.28,0.70,28.0
2022,3,61.17291,31.0,-46.821582,31.0,884.19,1.27,31.0
2022,4,nan,9.0,nan,9.0,0.00,0.00,9.0
2022,5,nan,0.0,nan,0.0,0.00,0.00,0.0
2022,6,61.17281,23.0,-46.821712,23.0,885.72,2.31,23.0
2022,7,61.17276,31.0,-46.821755,31.0,885.25,0.70,31.0
2022,8,61.17272,31.0,-46.821805,31.0,884.25,0.94,31.0
2022,9,61.17276,30.0,-46.821940,30.0,888.24,0.66,30.0
2022,10,61.17272,31.0,-46.821985,31.0,888.00,0.63,31.0
2022,11,nan,5.0,nan,5.0,0.00,0.00,5.0
2022,12,61.17266,31.0,-46.822059,31.0,886.29,0.44,31.0
2023,1,61.17262,31.0,-46.822091,31.0,886.43,0.69,31.0
2023,2,nan,9.0,nan,9.0,0.00,0.00,9.0
2023,3,nan,0.0,nan,0.0,0.00,0.00,0.0
2023,4,nan,0.0,nan,0.0,0.00,0.00,0.0
2023,5,nan,0.0,nan,0.0,0.00,0.00,0.0
2023,6,nan,0.0,nan,0.0,0.00,0.00,0.0
2023,7,61.17239,20.0,-46.822337,20.0,888.85,0.74,20.0
2023,8,61.17235,31.0,-46.822387,31.0,887.60,1.11,31.0
2023,9,61.17230,30.0,-46.822447,30.0,884.82,1.15,30.0
2023,10,61.17228,31.0,-46.822484,31.0,885.79,1.32,31.0
2023,11,nan,14.0,nan,14.0,0.00,0.00,14.0
2023,12,nan,0.0,nan,0.0,0.00,0.00,0.0
