year,month,lat,lat count,lon,lon count,elev,elev std,elev count
2020,1,nan,0.0,nan,0.0,0.00,0.00,0.0
2020,2,nan,0.0,nan,0.0,0.00,0.00,0.0
2020,3,nan,0.0,nan,0.0,0.00,0.00,0.0
2020,4,nan,0.0,nan,0.0,0.00,0.00,0.0
2020,5,nan,0.0,nan,0.0,0.00,0.00,0.0
2020,6,nan,0.0,nan,0.0,0.00,0.00,0.0
2020,7,nan,0.0,nan,0.0,0.00,0.00,0.0
2020,8,nan,0.0,nan,0.0,0.00,0.00,0.0
2020,9,nan,0.0,nan,0.0,0.00,0.00,0.0
2020,10,nan,0.0,nan,0.0,0.00,0.00,0.0
2020,11,nan,0.0,nan,0.0,0.00,0.00,0.0
2020,12,nan,0.0,nan,0.0,0.00,0.00,0.0
2021,1,nan,0.0,nan,0.0,0.00,0.00,0.0
2021,2,nan,0.0,nan,0.0,0.00,0.00,0.0
2021,3,nan,0.0,nan,0.0,0.00,0.00,0.0
2021,4,nan,0.0,nan,0.0,0.00,0.00,0.0
2021,5,nan,0.0,nan,0.0,0.00,0.00,0.0
2021,6,nan,221.0,nan,221.0,0.00,0.00,221.0
2021,7,63.14899,744.0,-44.817383,744.0,2894.87,9.04,744.0
2021,8,63.14899,743.0,-44.817384,743.0,2892.94,8.93,743.0
2021,9,63.14899,720.0,-44.817380,720.0,2892.37,9.05,720.0
2021,10,63.14899,743.0,-44.817377,743.0,2892.75,9.62,743.0
2021,11,63.14899,720.0,-44.817376,720.0,2891.32,10.96,720.0
2021,12,63.14899,742.0,-44.817382,742.0,2890.67,10.44,742.0
2022,1,63.14900,743.0,-44.817381,743.0,2890.67,10.42,743.0
2022,2,63.14900,671.0,-44.817387,671.0,2891.34,9.96,671.0
2022,3,nan,320.0,nan,320.0,0.00,0.00,320.0
2022,4,nan,0.0,nan,0.0,0.00,0.00,0.0
2022,5,nan,0.0,nan,0.0,0.00,0.00,0.0
2022,6,nan,0.0,nan,0.0,0.00,0.00,0.0
2022,7,nan,0.0,nan,0.0,0.00,0.00,0.0
2022,8,nan,0.0,nan,0.0,0.00,0.00,0.0
2022,9,nan,0.0,nan,0.0,0.00,0.00,0.0
2022,10,nan,0.0,nan,0.0,0.00,0.00,0.0
2022,11,nan,0.0,nan,0.0,0.00,0.00,0.0
2022,12,nan,0.0,nan,0.0,0.00,0.00,0.0
