year,month,lat,lat count,lon,lon count,elev,elev std,elev count
2021,1,69.55390,31.0,-49.370467,31.0,1120.87,0.42,31.0
2021,2,69.55384,28.0,-49.370678,28.0,1120.80,0.37,28.0
2021,3,69.55378,31.0,-49.370887,31.0,1120.83,0.81,31.0
2021,4,69.55373,30.0,-49.371108,30.0,1121.14,1.82,30.0
2021,5,69.55367,31.0,-49.371343,31.0,1121.33,1.62,31.0
2021,6,69.55361,30.0,-49.371545,30.0,1121.92,1.18,30.0
2021,7,69.55355,31.0,-49.371759,31.0,1122.37,0.74,31.0
2021,8,69.55348,31.0,-49.372034,31.0,1121.90,0.98,31.0
2021,9,69.55342,30.0,-49.372252,30.0,1120.90,0.57,30.0
2021,10,69.55337,31.0,-49.372451,31.0,1120.87,0.63,31.0
2021,11,69.55331,30.0,-49.372663,30.0,1120.02,0.53,30.0
2021,12,69.55326,31.0,-49.372871,31.0,1119.13,0.78,31.0
2022,1,69.55320,31.0,-49.373089,31.0,1119.47,0.60,31.0
2022,2,69.55314,28.0,-49.373301,28.0,1120.41,0.66,28.0
2022,3,69.55308,31.0,-49.373506,31.0,1121.92,0.94,31.0
2022,4,69.55302,30.0,-49.373722,30.0,1122.26,1.66,30.0
2022,5,69.55296,31.0,-49.373960,31.0,1121.67,2.09,31.0
2022,6,69.55290,30.0,-49.374153,30.0,1120.04,3.07,30.0
2022,7,69.55285,31.0,-49.374380,31.0,1121.47,1.04,31.0
2022,8,69.55280,31.0,-49.374617,31.0,1121.10,0.96,31.0
2022,9,69.55274,30.0,-49.374853,30.0,1121.74,1.16,30.0
2022,10,69.55268,31.0,-49.375068,31.0,1121.49,1.12,31.0
2022,11,69.55263,30.0,-49.375278,30.0,1120.11,1.38,30.0
2022,12,69.55257,31.0,-49.375491,31.0,1120.11,0.87,31.0
2023,1,69.55251,31.0,-49.375708,31.0,1120.12,1.15,31.0
2023,2,nan,14.0,nan,14.0,0.00,0.00,14.0
2023,3,nan,0.0,nan,0.0,0.00,0.00,0.0
2023,4,nan,0.0,nan,0.0,0.00,0.00,0.0
2023,5,nan,0.0,nan,0.0,0.00,0.00,0.0
2023,6,nan,0.0,nan,0.0,0.00,0.00,0.0
2023,7,nan,0.0,nan,0.0,0.00,0.00,0.0
2023,8,nan,0.0,nan,0.0,0.00,0.00,0.0
2023,9,nan,0.0,nan,0.0,0.00,0.00,0.0
2023,10,nan,0.0,nan,0.0,0.00,0.00,0.0
2023,11,nan,0.0,nan,0.0,0.00,0.00,0.0
2023,12,nan,0.0,nan,0.0,0.00,0.00,0.0
