year,month,lat,lat count,lon,lon count,elev,elev std,elev count
2021,1,65.63962,31.0,-38.898820,31.0,238.82,3.47,31.0
2021,2,65.63962,28.0,-38.898829,28.0,238.18,1.22,28.0
2021,3,65.63960,31.0,-38.898829,31.0,238.59,2.52,31.0
2021,4,65.63959,30.0,-38.898840,30.0,240.13,0.81,30.0
2021,5,65.63958,31.0,-38.898839,31.0,240.59,0.43,31.0
2021,6,65.63957,30.0,-38.898846,30.0,240.53,0.44,30.0
2021,7,65.63955,31.0,-38.898861,31.0,238.67,0.77,31.0
2021,8,65.63953,31.0,-38.898874,31.0,236.57,0.71,31.0
2021,9,65.63951,30.0,-38.898906,30.0,236.11,0.88,30.0
2021,10,65.63950,30.0,-38.898908,30.0,234.64,1.64,30.0
2021,11,65.63949,30.0,-38.898919,30.0,234.74,1.89,30.0
2021,12,65.63948,31.0,-38.898933,31.0,235.80,2.32,31.0
2022,1,65.63947,31.0,-38.898925,31.0,234.57,2.43,31.0
2022,2,65.63945,28.0,-38.898919,28.0,234.01,2.40,28.0
2022,3,65.63945,31.0,-38.898926,31.0,236.35,2.64,31.0
2022,4,65.63945,30.0,-38.898938,30.0,237.42,1.41,30.0
2022,5,65.63944,31.0,-38.898944,31.0,237.63,1.25,31.0
2022,6,65.63943,30.0,-38.898956,30.0,237.80,0.95,30.0
2022,7,65.63941,31.0,-38.898966,31.0,236.17,1.38,31.0
2022,8,65.63939,31.0,-38.898971,31.0,233.96,1.13,31.0
2022,9,65.63936,30.0,-38.899071,30.0,234.07,0.99,30.0
2022,10,65.63935,31.0,-38.899074,31.0,233.93,0.96,31.0
2022,11,65.63934,30.0,-38.899065,30.0,231.69,1.68,30.0
2022,12,65.63933,31.0,-38.899094,31.0,231.89,1.76,31.0
2023,1,65.63932,31.0,-38.899105,31.0,233.55,2.25,31.0
2023,2,65.63931,28.0,-38.899081,28.0,234.08,1.83,28.0
2023,3,65.63931,31.0,-38.899068,31.0,235.80,2.52,31.0
2023,4,65.63929,30.0,-38.899092,30.0,235.31,1.50,30.0
2023,5,65.63929,31.0,-38.899109,31.0,235.97,0.78,31.0
2023,6,65.63927,30.0,-38.899124,30.0,236.92,0.83,30.0
2023,7,65.63925,31.0,-38.899141,31.0,235.51,0.79,31.0
2023,8,65.63923,31.0,-38.899155,31.0,234.31,0.97,31.0
2023,9,65.63921,30.0,-38.899168,30.0,232.49,1.01,30.0
2023,10,65.63921,31.0,-38.899171,31.0,232.98,1.37,31.0
2023,11,nan,0.0,nan,0.0,0.00,0.00,0.0
2023,12,nan,0.0,nan,0.0,0.00,0.00,0.0
