year,month,lat,lat count,lon,lon count,elev,elev std,elev count
2021,1,nan,0.0,nan,0.0,0.00,0.00,0.0
2021,2,nan,0.0,nan,0.0,0.00,0.00,0.0
2021,3,nan,0.0,nan,0.0,0.00,0.00,0.0
2021,4,nan,0.0,nan,0.0,0.00,0.00,0.0
2021,5,nan,0.0,nan,0.0,0.00,0.00,0.0
2021,6,nan,0.0,nan,0.0,0.00,0.00,0.0
2021,7,nan,0.0,nan,0.0,0.00,0.00,0.0
2021,8,nan,0.0,nan,0.0,0.00,0.00,0.0
2021,9,nan,0.0,nan,0.0,0.00,0.00,0.0
2021,10,nan,0.0,nan,0.0,0.00,0.00,0.0
2021,11,nan,0.0,nan,0.0,0.00,0.00,0.0
2021,12,nan,0.0,nan,0.0,0.00,0.00,0.0
2022,1,nan,0.0,nan,0.0,0.00,0.00,0.0
2022,2,nan,0.0,nan,0.0,0.00,0.00,0.0
2022,3,nan,0.0,nan,0.0,0.00,0.00,0.0
2022,4,nan,0.0,nan,0.0,0.00,0.00,0.0
2022,5,nan,5.0,nan,5.0,0.00,0.00,5.0
2022,6,78.01910,30.0,-33.962926,30.0,2079.89,0.62,30.0
2022,7,78.01911,31.0,-33.962837,31.0,2079.47,0.70,31.0
2022,8,78.01912,31.0,-33.962753,31.0,2078.51,0.55,31.0
2022,9,78.01913,30.0,-33.962663,30.0,2078.17,0.57,30.0
2022,10,78.01914,31.0,-33.962574,31.0,2077.90,0.66,31.0
2022,11,78.01915,30.0,-33.962493,30.0,2076.74,0.58,30.0
2022,12,nan,4.0,nan,4.0,0.00,0.00,4.0
2023,1,nan,0.0,nan,0.0,0.00,0.00,0.0
2023,2,nan,2.0,nan,2.0,0.00,0.00,2.0
2023,3,78.01919,31.0,-33.962154,31.0,2080.34,1.16,31.0
2023,4,78.01920,30.0,-33.962070,30.0,2079.95,0.91,30.0
2023,5,78.01921,31.0,-33.961989,31.0,2080.30,0.75,31.0
2023,6,78.01922,30.0,-33.961909,30.0,2080.64,1.03,30.0
2023,7,78.01923,31.0,-33.961825,31.0,2080.54,1.18,31.0
2023,8,78.01924,31.0,-33.961739,31.0,2080.39,1.29,31.0
2023,9,78.01925,30.0,-33.961643,30.0,2078.90,1.40,30.0
2023,10,78.01926,31.0,-33.961559,31.0,2078.90,1.58,31.0
2023,11,nan,0.0,nan,0.0,0.00,0.00,0.0
2023,12,nan,0.0,nan,0.0,0.00,0.00,0.0
